Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Estonia,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,NA
Ethiopia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA
Faeroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands (Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,NA
France,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Gambia,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Georgia,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Germany,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA
Ghana,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,NA
Gibraltar,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Greece,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,NA
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Guinea-Bissau,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Guyana,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Haiti,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,NA
Hungary,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,13,13,13,13,NA
Iceland,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
India,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,8,8,8,NA
Indonesia,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Iran (Islamic Republic of),5,5,5,5,5,8,8,8,8,8,8,8,8,9,9,9,9,9,9,NA
Iraq,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Ireland,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,NA
Italy,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Jamaica,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Japan,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Kazakhstan,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Kenya,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,NA
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,NA
Kuwait,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Kyrgyzstan,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,NA
Lao People's Democratic Republic,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,NA
Latvia,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Lebanon,6,6,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,NA
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,NA
Liberia,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Libya,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Liechtenstein,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Lithuania,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Luxembourg,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,NA
Madagascar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA
Malawi,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA
Malaysia,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Malta,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Marshall Islands,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,NA
Martinique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
Mauritania,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Mauritius,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,9,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,NA
Micronesia (Federated States of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monaco,NA,NA,NA,NA,NA,NA,NA,11,11,11,11,11,11,11,11,11,11,11,11,11
Mongolia,8,8,7,9,9,9,12,12,12,11,11,12,12,12,12,12,12,12,12,NA
Montenegro,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Montserrat,7,7,7,7,7,7,7,7,11,12,12,12,12,12,12,12,12,12,12,NA
Morocco,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Mozambique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myanmar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA
Namibia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA
Nauru,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,NA
Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9
Netherlands,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA
Netherlands Antilles,12,12,12,12,12,12,12,14,14,NA,13,13,13,13,13,13,13,13,13,NA
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
New Zealand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Nicaragua,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,NA
Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigeria,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Niue,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,NA,NA,NA,NA,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Oman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,NA
Pakistan,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Palau,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Palestine,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Panama,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Papua New Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,NA
Peru,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,NA
Philippines,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Portugal,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12
Puerto Rico,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA
Qatar,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Republic of Korea,6,6,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Republic of Moldova,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,NA
Réunion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
Romania,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Russian Federation,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,NA
Rwanda,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Saint Helena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Saint Kitts and Nevis,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Saint Lucia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
Saint-Barthélemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint-Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoa,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA
San Marino,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Sao Tome and Principe,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Saudi Arabia,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Senegal,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Serbia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA
Seychelles,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Sierra Leone,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Singapore,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Sint Maarten (Dutch part),12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,NA
Slovakia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Slovenia,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,8,8,8,8,NA
Spain,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sri Lanka,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11
Sudan,NA,NA,NA,NA,NA,6,6,6,6,6,8,8,8,8,8,8,8,8,8,NA
Sudan (pre-secession),8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
Suriname,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Svalbard and Jan Mayen Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
Switzerland,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Syrian Arab Republic,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Tajikistan,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Thailand,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Timor-Leste,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,NA
Togo,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA
Tokelau,NA,NA,NA,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
Tonga,6,6,6,6,6,6,6,6,6,6,6,6,8,8,15,15,15,15,15,NA
Trinidad and Tobago,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
Tunisia,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Turkey,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,NA
Turkmenistan,9,9,9,9,9,9,9,9,9,10,10,10,10,10,12,12,12,12,12,NA
Turks and Caicos Islands,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA
Tuvalu,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,8,8,8,8,NA
Uganda,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,NA
Ukraine,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
United Arab Emirates,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA
United Kingdom of Great Britain and Northern Ireland,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA
United Republic of Tanzania,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA
United States of America,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA
United States Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uruguay,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,NA
Uzbekistan,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,NA
Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venezuela (Bolivarian Republic of),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,NA
Viet Nam,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,10,10,10,10,NA
Wallis and Futuna Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yemen,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA
Zambia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA
Zimbabwe,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA
Sustainable Development Goal Regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Landlocked Developing Countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Least Developed Countries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Small Island Developing States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Africa (Sub-Saharan) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Western Asia and Northern Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Africa (Northern),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Asia (Western),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Asia (Central and Southern),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Asia (Central),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Asia (Southern),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Asia (Eastern and South-eastern),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Asia (Eastern),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Asia (South-eastern),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Latin America and the Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Oceania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Oceania (Australia/New Zealand),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Oceania (excl. Australia/New Zealand),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
